Date,Country/Region,Cases,Longitude,Latitude,Recovered,Deaths,Recovery_Rate,Death_Rate,Month,Season,Lockdown,Alcohol Sales,Infection Rate,Vaccination
20/03/06,South Africa,1,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,0.0,Non-Vaccination
20/03/07,South Africa,1,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,0.0,Non-Vaccination
20/03/08,South Africa,3,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,66.667,Non-Vaccination
20/03/09,South Africa,3,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,0.0,Non-Vaccination
20/03/10,South Africa,7,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,57.143,Non-Vaccination
20/03/11,South Africa,13,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,46.154,Non-Vaccination
20/03/12,South Africa,17,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,23.529,Non-Vaccination
20/03/13,South Africa,24,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,29.167,Non-Vaccination
20/03/14,South Africa,38,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,36.842,Non-Vaccination
20/03/15,South Africa,51,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,25.49,Non-Vaccination
20/03/16,South Africa,62,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,17.742,Non-Vaccination
20/03/17,South Africa,62,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,0.0,Non-Vaccination
20/03/18,South Africa,116,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,46.552,Non-Vaccination
20/03/19,South Africa,150,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,22.667,Non-Vaccination
20/03/20,South Africa,202,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,25.743,Non-Vaccination
20/03/21,South Africa,240,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,15.833,Non-Vaccination
20/03/22,South Africa,274,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,12.409,Non-Vaccination
20/03/23,South Africa,402,22.9375,-30.5595,0,0,0.0,0.0,3,Autumn,Level 1,Allowed,31.841,Non-Vaccination
20/03/24,South Africa,554,22.9375,-30.5595,4,0,0.722,0.0,3,Autumn,Level 1,Allowed,27.437,Non-Vaccination
20/03/25,South Africa,709,22.9375,-30.5595,12,0,1.6925,0.0,3,Autumn,Level 1,Allowed,21.862,Non-Vaccination
20/03/26,South Africa,927,22.9375,-30.5595,12,0,1.2945,0.0,3,Autumn,Level 1,Allowed,23.517,Non-Vaccination
20/03/27,South Africa,1170,22.9375,-30.5595,31,1,2.6496,0.0855,3,Autumn,Level 1,Banned,20.769,Non-Vaccination
20/03/28,South Africa,1187,22.9375,-30.5595,31,1,2.6116,0.0842,3,Autumn,Level 1,Banned,1.432,Non-Vaccination
20/03/29,South Africa,1280,22.9375,-30.5595,31,2,2.4219,0.1562,3,Autumn,Level 1,Banned,7.266,Non-Vaccination
20/03/30,South Africa,1326,22.9375,-30.5595,31,3,2.3379,0.2262,3,Autumn,Level 1,Banned,3.469,Non-Vaccination
20/03/31,South Africa,1353,22.9375,-30.5595,31,5,2.2912,0.3695,3,Autumn,Level 1,Banned,1.996,Non-Vaccination
20/04/01,South Africa,1380,22.9375,-30.5595,50,5,3.6232,0.3623,4,Autumn,Level 1,Banned,1.957,Non-Vaccination
20/04/02,South Africa,1462,22.9375,-30.5595,50,5,3.42,0.342,4,Autumn,Level 1,Banned,5.609,Non-Vaccination
20/04/03,South Africa,1505,22.9375,-30.5595,95,9,6.3123,0.598,4,Autumn,Level 1,Banned,2.857,Non-Vaccination
20/04/04,South Africa,1585,22.9375,-30.5595,95,9,5.9937,0.5678,4,Autumn,Level 1,Banned,5.047,Non-Vaccination
